id,systeme,label,split,cluster_id,ndvi_mean,ndvi_std,ndvi_p10,ndvi_p90,ndvi_amplitude,ndwi_mean,ndwi_std,ndre_mean,ndre_std,area_ha,ndvi_ndwi_ratio,texture_proxy
parcel_1777665966157_egeq5,extensif,0,train,3,0.16348652819890197,0.02496616531112487,0.13228940925612317,0.19584461087711114,0.06355520162098796,-0.1356859845898809,0.019715939923552313,0.09145361854510499,0.018350959225818562,94.92092846720377,-1.204888926015013,0.1527108322567231
parcel_1777666032243_cm5hf,extensif,0,train,2,0.10988032290241855,0.01730521053760644,0.09087073420471323,0.13180648180541266,0.04093574760069943,-0.11835839133069574,0.01379259838875952,0.046067059264044974,0.013638370566544608,2104.0940821600525,-0.928369598055001,0.1574914279971711
parcel_1777666069829_t5ehp,extensif,0,train,2,0.10627212732002486,0.014675910595919108,0.09085903653273339,0.1239930557531483,0.03313401922041491,-0.11578306941722884,0.012786925741661953,0.04333091844573101,0.011723780335473782,2988.389915036504,-0.9178555814203271,0.13809744459852627
parcel_1777666096636_lo0y0,extensif,0,train,2,0.10904811887187442,0.019788980483392855,0.08836059076948703,0.13524417885109472,0.04688358808160768,-0.1346548345980288,0.015267757756339536,0.04547345617852001,0.014813634866976693,369.5143302028536,-0.8098344726778602,0.18147015164876257
parcel_1777666127269_tb54q,extensif,0,train,2,0.1089284855755687,0.018362867940695513,0.09084516375666637,0.12987357602702684,0.03902841227036047,-0.12964247139447702,0.01529775301345575,0.04552921027969093,0.014130862104202455,555.0980749596731,-0.8402222883143226,0.16857726569771955
parcel_1777666170696_fk7cq,extensif,0,train,2,0.10578612575445372,0.012975417138288781,0.09085714046579,0.1220384736800272,0.03118133321423719,-0.1343105905670637,0.018592060264025413,0.04405154078143237,0.011468456047840228,1807.1164396063298,-0.787623173899042,0.12265706697526761
parcel_1777666196106_hhim9,extensif,0,train,2,0.12151895788309193,0.026019433007497737,0.09863670785623273,0.14942584695358668,0.050789139097353955,-0.12519746972625573,0.017238341075383076,0.056038185342282096,0.019359533164543974,189.6459480475336,-0.970618398718258,0.21411828507735428
parcel_1777666217906_3lfgs,extensif,0,test,2,0.11206534747839189,0.016954853070416654,0.0932937666431293,0.13429349288887327,0.04099972624574397,-0.1321589564383344,0.01457368532947363,0.04875836570477984,0.012794536523558553,214.9880465862079,-0.8479588442442811,0.15129432905869986
parcel_1777666232428_43q5u,extensif,0,train,2,0.12847314430994744,0.021318231509362667,0.10454627811641509,0.15328722177653764,0.04874094366012255,-0.13882996895396557,0.017897743066787125,0.06096944532171647,0.015507146703999284,117.86978313823562,-0.9253992818116993,0.16593530083282182
parcel_1777666247763_3i29v,extensif,0,train,2,0.1195795738223966,0.017648373599663793,0.09916285508844351,0.14207474744754423,0.042911892359100715,-0.14006946217617663,0.016758470902182927,0.053495887018809744,0.01285595894232061,58.115115913749065,-0.8537162954845553,0.14758684581036607
parcel_1777666273477_7e680,extensif,0,val,2,0.12158753338517139,0.02119558633860552,0.09863191950823298,0.14740035867710707,0.04876843916887409,-0.12758211690848786,0.015023718943774392,0.05637135377100183,0.016251125789692532,54.66463616439917,-0.9530139949200223,0.17432366629417811
parcel_1777666300643_1c2ue,extensif,0,train,2,0.1130087221881487,0.015982131399861346,0.09522429123393407,0.13334186567296571,0.038117574439031646,-0.12990284550802117,0.015937366545717677,0.05000708022792201,0.013945248466447513,49.28764309617389,-0.8699480788559899,0.14142386247863245
parcel_1777666340373_juajr,extensif,0,train,2,0.11541147825997321,0.014606895278593915,0.09867711759704664,0.13379083058800226,0.035113712990955614,-0.1304603809890736,0.015665108785186517,0.052667254284608306,0.0141241976397173,303.20435155336753,-0.8846477852622329,0.12656361596941518
parcel_1777666373384_lm2rb,extensif,0,val,2,0.11709087330113495,0.015733512745305187,0.09868757782658646,0.13765193926974112,0.038964361443154655,-0.1321403463678025,0.015130727379569083,0.05286336764291493,0.013796551918236888,802.5649560894694,-0.8861099988062803,0.13437009186139331
parcel_1777666392195_gp8ab,extensif,0,train,2,0.11345929867147342,0.019885868600629183,0.08845681646112974,0.14014701390160386,0.05169019744047412,-0.12466798435241185,0.013367116986798653,0.04787555908891767,0.013913656264237984,59.06211966714234,-0.9100917798724016,0.1752687270306716
parcel_1777666410382_4ozey,extensif,0,train,2,0.11984949807470811,0.016002814928903392,0.1020679534207991,0.14116643479166277,0.039098481370863664,-0.13621013259826903,0.012769440953722943,0.05333859914644896,0.011473797514165466,104.69984177156394,-0.8798868673526263,0.13352424374514787
parcel_1777666449437_wci0q,extensif,0,train,2,0.11685940129581066,0.01801218217901172,0.09622589104035024,0.14109477298792078,0.044868881947570535,-0.13287777065489584,0.013808519024261539,0.0519193938301075,0.013287739161604141,253.9376947109025,-0.8794504115652028,0.15413548621614054
parcel_1777666485645_8qagw,extensif,0,val,2,0.113126180544713,0.02071088281129231,0.09279940989286506,0.13574543205201411,0.042946022159149055,-0.1196076265262864,0.014617317915796516,0.04844788258279766,0.0161777268763944,990.7245079752144,-0.9458108424044304,0.18307770032357235
parcel_1777666507054_wo1vk,extensif,0,train,2,0.11038840966992843,0.017262119840378485,0.095225615694936,0.12744422074278025,0.032218605047844254,-0.11413819307004253,0.01379975427947916,0.046520530061242064,0.013904437644273926,778.7330248700009,-0.9671470729666951,0.15637618413230137
parcel_1777666529889_rdkq2,extensif,0,train,2,0.12341171120615081,0.02625837113464378,0.0947449723472594,0.1591490539861144,0.064404081638855,-0.11111335027311868,0.016091915769270392,0.05732192202833445,0.020546208077194913,1078.2700727821218,-1.110683117821879,0.21277047980540661
parcel_1777666572107_7pdad,extensif,0,test,2,0.11131032787895316,0.01694998867874603,0.09281344354760207,0.13373760229484696,0.04092415874724489,-0.10687167157600737,0.013472403597383178,0.04705861139145979,0.012280345829822268,1443.2951926499438,-1.0415326779568126,0.15227685946995026
parcel_1777666591451_o64cz,extensif,0,test,2,0.118829433921836,0.01888628171337235,0.09670573578189205,0.14354935194540686,0.046843616163514804,-0.11267583196629033,0.01686324753268326,0.053880011512568805,0.012815085747064631,790.8698653056623,-1.0546134197040662,0.15893604387979318
parcel_1777666608727_pm8wx,extensif,0,train,2,0.1164435920321855,0.029049679946684913,0.09082531763549628,0.15135296502691828,0.060527647391421996,-0.10634314564307516,0.017618099696631792,0.05132209967781399,0.022361400197654906,367.63711614930213,-1.0949798623863323,0.24947424710080215
parcel_1777662049508_exj14,intensif,1,train,4,0.3435727250231192,0.06239709266063265,0.266694732757426,0.40334661935538724,0.13665188659796124,-0.07486220018192055,0.03642552982345967,0.24265087772221092,0.04605427476565516,74.01179995745333,-4.589402530011646,0.1816124689185069
parcel_1777662108262_dhxlg,intensif,1,test,4,0.4842763070366913,0.08154993297496313,0.3886554789228483,0.5526832449256159,0.16402776600276764,0.05954139788105621,0.05771986569539653,0.3528167150808643,0.06066586109916998,370.10213776960774,8.133437287947794,0.1683954595879701
parcel_1777662148660_qey6r,intensif,1,train,4,0.4117379797687019,0.0831946467172225,0.3065208948199105,0.4979590372749447,0.1914381424550342,-0.005090792695424465,0.04848133166342991,0.2888876948229951,0.06107401624684189,140.24199355289807,-80.87911120990631,0.20205725190419752
